"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4533	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4430	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4551	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4666	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	4840	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	4667	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5487	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5511	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	4910	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	4955	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5316	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	6791	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	7572	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	5333	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	4837	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	4711	Not Applicable	Not Applicable
