"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4666	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4572	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4715	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4828	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	5047	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	4848	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5671	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5716	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	5063	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	5142	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5503	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	6980	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	7770	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	5510	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	5021	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	4918	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	4852	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	4635	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	4854	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	6604	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	6709	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	5542	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	4980	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	5262	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	6642	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	5923	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	4967	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	4492	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	4548	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	4571	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	4793	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	4765	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	4640	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	5023	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Nov., 2022"	"2022/11"	4847	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Dec., 2022"	"2022/12"	5279	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	5324	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	4731	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	4908	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	4607	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"May, 2023 (provisional)"	"2023/05"	4852	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	4381	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jul., 2023 (provisional)"	"2023/07"	4715	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Aug., 2023 (provisional)"	"2023/08"	4775	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Sep., 2023 (provisional)"	"2023/09"	4519	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Oct., 2023 (provisional)"	"2023/10"	4650	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Nov., 2023 (provisional)"	"2023/11"	4657	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Dec., 2023 (provisional)"	"2023/12"	5394	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	412	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	356	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	346	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	352	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	381	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	364	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	424	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	419	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	416	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	461	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	489	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	500	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jan., 2021"	"2021/01"	464	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Feb., 2021"	"2021/02"	357	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Mar., 2021"	"2021/03"	410	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Apr., 2021"	"2021/04"	406	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"May, 2021"	"2021/05"	422	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jun., 2021"	"2021/06"	410	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jul., 2021"	"2021/07"	455	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Aug., 2021"	"2021/08"	585	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Sep., 2021"	"2021/09"	637	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Oct., 2021"	"2021/10"	711	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Nov., 2021"	"2021/11"	584	Not Applicable	Not Applicable
