"Notes"	"Occurrence State"	"Occurrence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2020"	"2020"	"Jan., 2020"	"2020/01"	4610	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Feb., 2020"	"2020/02"	4523	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Mar., 2020"	"2020/03"	4664	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4767	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"May, 2020"	"2020/05"	4982	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jun., 2020"	"2020/06"	4786	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Jul., 2020"	"2020/07"	5608	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Aug., 2020"	"2020/08"	5642	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Sep., 2020"	"2020/09"	5007	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Oct., 2020"	"2020/10"	5076	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Nov., 2020"	"2020/11"	5445	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Dec., 2020"	"2020/12"	6906	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jan., 2021"	"2021/01"	7697	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Feb., 2021"	"2021/02"	5460	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Mar., 2021"	"2021/03"	4964	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Apr., 2021"	"2021/04"	4837	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"May, 2021"	"2021/05"	4787	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	4561	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	4789	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	6541	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Sep., 2021"	"2021/09"	6642	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Oct., 2021"	"2021/10"	5469	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Nov., 2021"	"2021/11"	4926	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Dec., 2021"	"2021/12"	5200	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jan., 2022"	"2022/01"	6570	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Feb., 2022"	"2022/02"	5862	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Mar., 2022"	"2022/03"	4928	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Apr., 2022"	"2022/04"	4434	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"May, 2022"	"2022/05"	4495	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jun., 2022"	"2022/06"	4518	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Jul., 2022"	"2022/07"	4728	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Aug., 2022"	"2022/08"	4698	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Sep., 2022"	"2022/09"	4578	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Oct., 2022"	"2022/10"	4969	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Nov., 2022"	"2022/11"	4780	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022"	"2022"	"Dec., 2022"	"2022/12"	5219	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jan., 2023 (provisional)"	"2023/01"	5254	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Feb., 2023 (provisional)"	"2023/02"	4686	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Mar., 2023 (provisional)"	"2023/03"	4854	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Apr., 2023 (provisional)"	"2023/04"	4543	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"May, 2023 (provisional)"	"2023/05"	4800	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jun., 2023 (provisional)"	"2023/06"	4317	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Jul., 2023 (provisional)"	"2023/07"	4656	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Aug., 2023 (provisional)"	"2023/08"	4711	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Sep., 2023 (provisional)"	"2023/09"	4463	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Oct., 2023 (provisional)"	"2023/10"	4590	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Nov., 2023 (provisional)"	"2023/11"	4599	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional)"	"2023"	"Dec., 2023 (provisional)"	"2023/12"	5332	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jan., 2020"	"2020/01"	406	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Feb., 2020"	"2020/02"	342	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Mar., 2020"	"2020/03"	338	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Apr., 2020"	"2020/04"	342	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"May, 2020"	"2020/05"	370	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jun., 2020"	"2020/06"	352	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Jul., 2020"	"2020/07"	403	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Aug., 2020"	"2020/08"	408	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Sep., 2020"	"2020/09"	409	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Oct., 2020"	"2020/10"	447	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Nov., 2020"	"2020/11"	479	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Dec., 2020"	"2020/12"	493	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jan., 2021"	"2021/01"	452	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Feb., 2021"	"2021/02"	352	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Mar., 2021"	"2021/03"	393	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Apr., 2021"	"2021/04"	395	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"May, 2021"	"2021/05"	407	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jun., 2021"	"2021/06"	400	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Jul., 2021"	"2021/07"	439	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Aug., 2021"	"2021/08"	564	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Sep., 2021"	"2021/09"	631	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Oct., 2021"	"2021/10"	701	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Nov., 2021"	"2021/11"	574	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	"Dec., 2021"	"2021/12"	532	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Jan., 2022"	"2022/01"	507	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Feb., 2022"	"2022/02"	416	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Mar., 2022"	"2022/03"	431	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"Apr., 2022"	"2022/04"	401	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022"	"2022"	"May, 2022"	"2022/05"	412	Not Applicable	Not Applicable
